reference_nandina,presence_status,n_v01,top1_n_v01,top1_v01,top3_n_v01,top3_v01,mrr_v01,n_v02,top1_n_v02,top1_v02,top3_n_v02,top3_v02,mrr_v02,delta_top1_v02_minus_v01,delta_top3_v02_minus_v01,delta_mrr_v02_minus_v01
87089950,CODE_IN_BOTH_EVALSETS,2,1,0.5,1,0.5,0.5104166666666666,7,4,0.5714285714285714,6,0.8571428571428571,0.7428571428571429,0.0714285714285714,0.3571428571428571,0.23244047619047625
87089999,CODE_IN_BOTH_EVALSETS,115,88,0.7652173913043478,109,0.9478260869565217,0.8549792960662526,147,54,0.3673469387755102,93,0.6326530612244898,0.5432821174867994,-0.3978704525288376,-0.3151730257320319,-0.3116971785794531
87099000,ONLY_V01,13,12,0.9230769230769231,13,1.0,0.9615384615384616,0,0,,0,,,,,
87111000,ONLY_V01,2,2,1.0,2,1.0,1.0,0,0,,0,,,,,
87116000,ONLY_V01,3,3,1.0,3,1.0,1.0,0,0,,0,,,,,
87141090,CODE_IN_BOTH_EVALSETS,41,35,0.8536585365853658,37,0.9024390243902439,0.8991869918699187,68,12,0.17647058823529413,28,0.4117647058823529,0.3813152533740769,-0.6771879483500717,-0.490674318507891,-0.5178717384958418
87142000,CODE_IN_BOTH_EVALSETS,2,1,0.5,2,1.0,0.75,1,0,0.0,0,0.0,0.14285714285714285,-0.5,-1.0,-0.6071428571428572
87149300,ONLY_V01,1,0,0.0,1,1.0,0.5,0,0,,0,,,,,
87149400,CODE_IN_BOTH_EVALSETS,14,13,0.9285714285714286,14,1.0,0.9642857142857143,19,0,0.0,2,0.10526315789473684,0.1944064707222602,-0.9285714285714286,-0.8947368421052632,-0.769879243563454
87149900,CODE_IN_BOTH_EVALSETS,6,3,0.5,6,1.0,0.7222222222222222,6,1,0.16666666666666666,1,0.16666666666666666,0.23634920634920634,-0.33333333333333337,-0.8333333333333334,-0.4858730158730159
87168090,ONLY_V01,1,1,1.0,1,1.0,1.0,0,0,,0,,,,,
87169000,ONLY_V01,2,2,1.0,2,1.0,1.0,0,0,,0,,,,,
